PlateID,SampleID,Target,Well,Channel700,Channel800
GED-PLA-00000002,GED-SAM-00000183,EMPTY,H03,861.1845703,85.14976501
GED-PLA-00000002,GED-SAM-00000184,EMPTY,H04,845.5620117,85.80376434
GED-PLA-00000002,GED-SAM-00000185,EMPTY,H05,855.3979492,81.03451538
GED-PLA-00000002,GED-SAM-00000186,EMPTY,H06,830.7436523,81.70275879
GED-PLA-00000002,GED-SAM-00000187,EMPTY,H07,832.2832031,82.74179077
GED-PLA-00000002,GED-SAM-00000188,EMPTY,H08,849.0546875,118.4221954
GED-PLA-00000002,GED-SAM-00000189,EMPTY,H09,852.8852539,86.43795013
GED-PLA-00000002,GED-SAM-00000190,EMPTY,H10,893.9990234,85.04986572
GED-PLA-00000002,GED-SAM-00000191,EMPTY,H11,849.8432617,80.19161987
GED-PLA-00000002,GED-SAM-00000192,CLONE3.CONTROL,H12,11959.08594,827.7290039
GED-PLA-00000003,GED-SAM-00000193,CLONE3.CONTROL,A01,10809.00781,852.1369629
GED-PLA-00000003,GED-SAM-00000194,EMPTY,A02,757.2368164,80.69049072
GED-PLA-00000003,GED-SAM-00000195,EMPTY,A03,765.1801758,85.39750671
GED-PLA-00000003,GED-SAM-00000196,EMPTY,A04,771.4697266,88.54483032
GED-PLA-00000003,GED-SAM-00000197,EMPTY,A05,777.3999023,89.2324295
GED-PLA-00000003,GED-SAM-00000198,EMPTY,A06,746.5839844,83.69711304
GED-PLA-00000003,GED-SAM-00000199,EMPTY,A07,775.621582,83.3886261
GED-PLA-00000003,GED-SAM-00000200,EMPTY,A08,791.3735352,85.26200867
GED-PLA-00000003,GED-SAM-00000201,EMPTY,A09,760.3754883,84.17061615
GED-PLA-00000003,GED-SAM-00000202,EMPTY,A10,777.2758789,82.24617767
GED-PLA-00000003,GED-SAM-00000203,EMPTY,A11,736.0732422,83.43136597
GED-PLA-00000003,GED-SAM-00000204,EMPTY,A12,746.9501953,86.20941162
GED-PLA-00000003,GED-SAM-00000205,EMPTY,B01,774.9628906,80.89834595
GED-PLA-00000003,GED-SAM-00000206,STAT3.1,B02,1370.897949,88.8782959
GED-PLA-00000003,GED-SAM-00000207,STAT3.1,B03,3868.28418,98.15856934
GED-PLA-00000003,GED-SAM-00000208,STAT3.1,B04,5607.212402,107.9790268
GED-PLA-00000003,GED-SAM-00000209,STAT3.1,B05,10178.90039,135.7418823
GED-PLA-00000003,GED-SAM-00000210,STAT3.1,B06,1151.071777,110.2630005
GED-PLA-00000003,GED-SAM-00000211,STAT3.1,B07,1153.171875,113.3872681
GED-PLA-00000003,GED-SAM-00000212,STAT3.1,B08,5391.475586,105.1818848
GED-PLA-00000003,GED-SAM-00000213,STAT3.1,B09,5641.151367,501.8796997
GED-PLA-00000003,GED-SAM-00000214,STAT3.1,B10,1785.016602,85.92541504
GED-PLA-00000003,GED-SAM-00000215,STAT3.1,B11,6237.546387,110.4526062
GED-PLA-00000003,GED-SAM-00000216,EMPTY,B12,763.3261719,99.47241211
GED-PLA-00000003,GED-SAM-00000217,EMPTY,C01,793.7563477,94.3939209
GED-PLA-00000003,GED-SAM-00000218,STAT3.1,C02,5908.98877,116.541687
GED-PLA-00000003,GED-SAM-00000219,STAT3.1,C03,6092.470703,110.6029358
GED-PLA-00000003,GED-SAM-00000220,STAT3.1,C04,4501.417969,99.4223938
GED-PLA-00000003,GED-SAM-00000221,STAT3.1,C05,2439.819336,94.36846924
GED-PLA-00000003,GED-SAM-00000222,STAT3.1,C06,4277.998047,495.9202271
GED-PLA-00000003,GED-SAM-00000223,STAT3.1,C07,3805.248535,117.2141724
GED-PLA-00000003,GED-SAM-00000224,STAT3.1,C08,5814.654785,556.8798828
GED-PLA-00000003,GED-SAM-00000225,STAT3.1,C09,1795.084961,87.50265503
GED-PLA-00000003,GED-SAM-00000226,STAT3.1,C10,1274.021973,86.98864746
GED-PLA-00000003,GED-SAM-00000227,STAT3.1,C11,5746.636719,109.2008667
GED-PLA-00000003,GED-SAM-00000228,EMPTY,C12,755.3442383,77.75067139
GED-PLA-00000003,GED-SAM-00000229,EMPTY,D01,787.3398438,76.90298462
GED-PLA-00000003,GED-SAM-00000230,STAT3.1,D02,6588.897461,118.5175171
GED-PLA-00000003,GED-SAM-00000231,STAT3.1,D03,1133.291504,86.01916504
GED-PLA-00000003,GED-SAM-00000232,STAT3.1,D04,4184.844727,98.82632446
GED-PLA-00000003,GED-SAM-00000233,STAT3.1,D05,10371.02148,136.7589722
